[2019-07-01 16:36:18 ^40678.9]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40680.11]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40679.10]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40682.13]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40673.8]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40681.12]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40684.14]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:36:18 ^40683.15]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:38:42 $40712.0]	INFO	Server is reloading task workers now
[2019-07-01 16:38:45 ^40713.8]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40714] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40715] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40716] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40717] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40718] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40719] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40720] exit timeout, forced kill
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40716] abnormal exit, status=0, signal=9
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40719] abnormal exit, status=0, signal=9
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40720] abnormal exit, status=0, signal=9
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40718] abnormal exit, status=0, signal=9
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40717] abnormal exit, status=0, signal=9
[2019-07-01 16:38:45 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40715] abnormal exit, status=0, signal=9
[2019-07-01 16:39:15 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40758] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40763] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40769] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40764] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40768] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40767] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40765] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40766] exit timeout, forced kill
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40769] abnormal exit, status=0, signal=9
